@RELATION data

@ATTRIBUTE 50daymovingaverage REAL
@ATTRIBUTE volume REAL
@ATTRIBUTE market/bookratio REAL
@ATTRIBUTE p/e REAL
@ATTRIBUTE debt/equityratio REAL
@ATTRIBUTE freecashflowyield REAL
@ATTRIBUTE class {FALSE,TRUE}

@DATA
1.099040681,180825400,2.015861088,-2.663177252,0.612607759,-0.004364157,FALSE
1.16132293,236222000,2.144037364,-2.832512403,0.612607759,-0.004119747,FALSE
1.095540346,183612800,2.030310055,-2.682265948,0.612607759,-0.004335165,FALSE
1.143828816,135955400,2.131918771,-2.81650239,0.612607759,-0.004141677,FALSE
1.103251281,146165600,2.066665524,-2.730295576,0.612607759,-0.004263892,TRUE
1.11482223,153266400,2.100224359,-2.774630538,0.612607759,-0.004200151,TRUE
1.088417227,100087400,2.057343565,-2.717980229,0.612607759,-0.004281943,TRUE
1.06255491,85227800,2.015893339,12.85119057,0.639914393,-0.007831146,TRUE
0.995144698,92171800,1.889841569,12.04761863,0.639914393,-0.008335351,TRUE
0.959704739,171371200,1.820746701,11.60714328,0.639914393,-0.008640286,TRUE
1.026756188,111690600,1.94866579,12.42261926,0.639914393,-0.008092211,TRUE
1.012330897,81222400,1.922521761,12.25595276,0.639914393,-0.008198499,TRUE
1.008902778,66645600,1.917853073,12.22619017,0.639914393,-0.008217774,TRUE
1.082206464,114343600,2.057910596,13.11904788,0.639914393,-0.007676365,FALSE
1.070369422,83524000,2.035501361,12.97619045,0.639914393,-0.007758145,TRUE
1.099952446,74733400,2.093391845,13.34523857,0.639914393,-0.007550347,FALSE
1.051547402,71306200,2.001887587,12.7619048,0.639914393,-0.007884136,TRUE
